date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:06	109/109	---M-Z	200	added ('OK')	text/plain	etag:%224ad20b363dcf677fe042d47dd6c67a3b%22	https://reserved-operators-543471.framer.app/robots.txt		(from )
23:08:10	234134/234134	---M-Z	200	added ('OK')	text/html	etag:%22e9a449f413db740a4361aa1ee7113197%22	https://reserved-operators-543471.framer.app/	C:/My%20Web%20Sites/Portfolio/reserved-operators-543471.framer.app/index.html	(from )
23:08:10	3677/3677	---M--	200	added ('OK')	image/png	etag:%22c6bff91066e875fbdf309b664c3e30a7%22	https://framerusercontent.com/sites/icons/default-favicon.v3.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/sites/icons/default-favicon.v3.png	(from https://reserved-operators-543471.framer.app/)
23:08:12	125855/125855	---M-Z	200	added ('OK')	text/html	etag:%22a1171d51aaa9e440ec8b086c4e036f40%22	https://reserved-operators-543471.framer.app/old-home	C:/My%20Web%20Sites/Portfolio/reserved-operators-543471.framer.app/old-home.html	(from https://reserved-operators-543471.framer.app/)
23:08:13	1080/1080	---MC-	200	added ('OK')	image/png	date:Sun,%2012%20May%202024%2017:38:11%20GMT	https://framerusercontent.com/images/GHT3zoRjjdUJAKAQ8S1Rv3Qoxs.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/GHT3zoRjjdUJAKAQ8S1Rv3Qoxs.png	(from https://reserved-operators-543471.framer.app/)
23:08:13	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2017:38:11%20GMT	https://reserved-operators-543471.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20731%2044%22%3E%3Cpath%20d%3D%22M%20230.871%209.392%20C%20208.953%2012.867%20190.531%2013.518%20103.32%2013.518%20C%2038.028%2013.735%200.952%2014.604%200.019%2015.907%20C%20-0.913%2017.427%2031.732%2018.079%2096.557%2018.079%20C%20183.069%2018.079%20198.692%2018.513%20229.472%2022.639%20L%20264.45%2027.2%20L%20272.845%2021.771%20L%20281.473%2016.341%20L%20272.611%2010.695%20C%20262.352%204.18%20264.45%204.18%20230.871%209.392%20Z%22%20fill%3D%22rgb(38%2C%2038%2C%2038	C:/My%20Web%20Sites/Portfolio/reserved-operators-543471.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20731%2044___path%20d=_M%20230.871%209.392%20C%20208.953%2012.867	(from https://reserved-operators-543471.framer.app/)
23:08:13	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2017:38:11%20GMT	https://reserved-operators-543471.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20773%2046%22%3E%3Cpath%20d%3D%22M%20244.136%209.819%20C%20220.958%2013.452%20201.478%2014.133%20109.256%2014.133%20C%2040.213%2014.36%201.007%2015.268%200.021%2016.63%20C%20-0.966%2018.22%2033.556%2018.901%20102.105%2018.901%20C%20193.587%2018.901%20210.108%2019.355%20242.657%2023.669%20L%20279.644%2028.436%20L%20288.522%2022.76%20L%20297.645%2017.084%20L%20288.274%2011.181%20C%20277.425%204.37%20279.644%204.37%20244.136%209.819%20Z%22%20fill%3D%22rgb(38%2C%2038%2C%2038	C:/My%20Web%20Sites/Portfolio/reserved-operators-543471.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20773%2046___path%20d=_M%20244.136%209.819%20C%20220.958%2013.452	(from https://reserved-operators-543471.framer.app/)
23:08:13	2062/2062	---MC-	200	added ('OK')	image/png	date:Sun,%2012%20May%202024%2017:38:12%20GMT	https://framerusercontent.com/images/AoqJUWMA1TuzsDpNpu7FwITh82A.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/AoqJUWMA1TuzsDpNpu7FwITh82A.png	(from https://reserved-operators-543471.framer.app/)
23:08:13	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2017:38:12%20GMT	https://reserved-operators-543471.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20394%2024%22%3E%3Cpath%20d%3D%22M%20124.437%205.123%20C%20112.623%207.018%20102.694%207.374%2055.688%207.374%20C%2020.497%207.492%200.513%207.966%200.01%208.677%20C%20-0.492%209.506%2017.103%209.861%2052.043%209.861%20C%2098.672%209.861%20107.093%2010.098%20123.683%2012.349%20L%20142.535%2014.836%20L%20147.06%2011.875%20L%20151.71%208.914%20L%20146.934%205.834%20C%20141.404%202.28%20142.535%202.28%20124.437%205.123%20Z%22%20fill%3D%22rgb(38%2C%2038%2C%2038	C:/My%20Web%20Sites/Portfolio/reserved-operators-543471.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20394%2024___path%20d=_M%20124.437%205.123%20C%20112.623%207.018	(from https://reserved-operators-543471.framer.app/)
23:08:13	39205/39205	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2012%20May%202024%2017:38:12%20GMT	https://framerusercontent.com/images/GPUg1M13zfXiYvc3KJcAEkgTx60.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/GPUg1M13zfXiYvc3KJcAEkgTx60.jpg	(from https://reserved-operators-543471.framer.app/)
